hospital,municipio,municipio_atendido,tipo,regiao_saude,ads,polo,fonte
Hospital Manuel Assunção Pires,Aquiraz,Aquiraz,Hospital Estratégico,Fortaleza,,,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Municipal Santa Izabel,Aracoiaba,Aracoiaba,Polo,Fortaleza,Baturité,Aracoiaba,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal José Pinto do Carmo,Baturité,Baturité,Polo,Fortaleza,Baturité,Baturité,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Monsenhor Dourado,Beberibe,Beberibe,Hospital Estratégico,Fortaleza,Cascavel,Cascavel,REG_FORTALEZA_FINAL.pdf / Tabela 35; ADS atualizada conforme página SESA Regionalização
Hospital Municipal Nossa Senhora das Graças,Cascavel,Cascavel,Polo,Fortaleza,Cascavel,Cascavel,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Abelardo Gadelha da Rocha,Caucaia,Caucaia,Polo,Fortaleza,Caucaia,Caucaia,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Santa Terezinha,Caucaia,Caucaia,Polo,Fortaleza,Caucaia,Caucaia,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Amadeu Sá,Eusébio,Eusébio,Polo,Fortaleza,Fortaleza,Eusébio,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Cura D Ars,Fortaleza,Fortaleza,Hospital Estratégico,Fortaleza,,,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Estadual Leonardo da Vinci - HELV,Fortaleza,Fortaleza,Rede SESA - Hospital Geral,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Geral Dr. César Cals,Fortaleza,Fortaleza,Rede SESA - Hospital Geral,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Geral Dr. Waldemar de Alcântara,Fortaleza,Fortaleza,Rede SESA - Hospital Geral,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Geral de Fortaleza,Fortaleza,Fortaleza,Rede SESA - Hospital Geral,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Infantil Albert Sabin,Fortaleza,Fortaleza,Rede SESA - Hospital Especializado Pediatria,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital São José,Fortaleza,Fortaleza,Rede SESA - Hospital Geral,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital São Vicente,Fortaleza,Fortaleza,Hospital Estratégico,Fortaleza,,,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital de Messejana Dr. Carlos Alberto Studart Gomes,Fortaleza,Fortaleza,Rede SESA - Hospital Especializado Cardiologia,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital de Saúde Mental Professor Frota Pinto,Fortaleza,Fortaleza,Rede SESA - Hospital Especializado Psiquiatria,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital e Maternidade José Martiniano de Alencar,Fortaleza,Fortaleza,Rede SESA - Hospital Geral,Fortaleza,Fortaleza,Fortaleza,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Maternidade Escola Assis Chateaubriand,Fortaleza,Fortaleza,Polo,Fortaleza,Fortaleza,Fortaleza,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
SOPAI - Hospital Luís de França,Fortaleza,Fortaleza,Polo,Fortaleza,Fortaleza,Fortaleza,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Santa Casa de Misericórdia de Fortaleza,Fortaleza,Fortaleza,Hospital Estratégico,Fortaleza,,,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Venâncio Raimundo de Sousa,Horizonte,Horizonte,Hospital Estratégico,Fortaleza,,,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital São Vicente de Paulo,Itapipoca,Itapipoca,Polo,Fortaleza,Itapipoca,Itapipoca,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal João Elísio de Holanda,Maracanaú,Maracanaú,Polo,Fortaleza,Maracanaú,Maracanaú,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Argeu Braga Herbster,Maranguape,Maranguape,Hospital Estratégico,Fortaleza,,,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Paulo Sarasate,Redenção,Redenção,Hospital Estratégico,Fortaleza,,,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Geral Luiza Alcântara,São Gonçalo do Amarante,São Gonçalo do Amarante,Polo,Fortaleza,Caucaia,São Gonçalo do Amarante,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Eduardo Dias,Aracati,Aracati,Polo,Litoral Leste Jaguaribe,Aracati,Aracati,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Santa Luísa de Marillac,Aracati,Aracati,Polo,Litoral Leste Jaguaribe,Aracati,Aracati,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional Francisco Galvão,Jaguaribe,Jaguaribe,Retaguarda RUE,Litoral Leste Jaguaribe,,,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Regional Vale do Jaguaribe,Limoeiro do Norte,Limoeiro do Norte,Regional/RUE,Litoral Leste Jaguaribe,,,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital São Raimundo,Limoeiro do Norte,Limoeiro do Norte,Polo,Litoral Leste Jaguaribe,Limoeiro do Norte,Limoeiro do Norte,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Casa de Saúde de Russas,Russas,Russas,Polo,Litoral Leste Jaguaribe,Russas,Russas,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Celestina Colares,Tabuleiro do Norte,Tabuleiro do Norte,Retaguarda RUE,Litoral Leste Jaguaribe,,,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Municipal de Acaraú,Acaraú,Acaraú,Polo Regional,Norte,Acaraú,Acaraú,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital e Maternidade Dr. Moura Ferreira,Acaraú,Acaraú,Hospital Estratégico,Norte,Acaraú,Acaraú,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Deputado Murilo Aguiar,Camocim,Camocim,Regional/Habilitação,Norte,Camocim,Camocim,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital São Lucas,Crateús,Crateús,Regional/Habilitação,Norte,Crateús,Crateús,REG_SOBRAL_FINAL.pdf / Quadro 26
Santa Casa de Misericórdia de Sobral,Sobral,Sobral,Rede SESA / Alta Complexidade,Norte,Sobral,Sobral,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital e Maternidade Madalena Nunes,Tianguá,Tianguá,Regional/Habilitação,Norte,Tianguá,Tianguá,REG_SOBRAL_FINAL.pdf / Quadro 26
Município de Tianguá,Tianguá,Tianguá,Serviço municipal,Norte,Tianguá,Tianguá,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Regional São Francisco,Canindé,Canindé,Polo,Sertão Central,Canindé,Canindé,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Eudásio Barroso,Quixadá,Quixadá,Apoio/Polo complementar,Sertão Central,Quixadá,Quixadá,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,Quixadá,Quixadá,Polo,Sertão Central,Quixadá,Quixadá,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Dr. Pontes Neto,Quixeramobim,Quixeramobim,Polo,Sertão Central,Quixadá,Quixeramobim,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional do Sertão Central,Quixeramobim,Quixeramobim,Estadual / RUE,Sertão Central,Quixadá,Quixeramobim,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Alberto Feitosa,Tauá,Tauá,Polo,Sertão Central,Tauá,Tauá,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal de Acopiara,Acopiara,Acopiara,Polo,Cariri,Iguatu,Iguatu,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
