municipio,regiao_saude,ads,polo,hospital_polo,atualizado_em,fonte,url_fonte,nivel_confianca,observacao
Fortaleza,Fortaleza,Fortaleza,Fortaleza,Instituto Dr. José Frota; Maternidade Escola Assis Chateaubriand; SOPAI; Hospital Universitário do Ceará (HUC),2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,HUC incluído como unidade da Rede Estadual; absorveu habilitações assistenciais do HGCC por Resolução CIB/CE 903/2025.
Eusébio,Fortaleza,Fortaleza,Fortaleza,Instituto Dr. José Frota; Maternidade Escola Assis Chateaubriand; SOPAI,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
Aquiraz,Fortaleza,Fortaleza,Fortaleza,Instituto Dr. José Frota; Maternidade Escola Assis Chateaubriand; SOPAI,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
Itaitinga,Fortaleza,Fortaleza,Fortaleza,Instituto Dr. José Frota; Maternidade Escola Assis Chateaubriand; SOPAI,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
Caucaia,Fortaleza,Caucaia,Caucaia,Hospital Municipal Abelardo Gadelha da Rocha; Hospital Santa Terezinha,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
São Gonçalo do Amarante,Fortaleza,Caucaia,Caucaia,Hospital Municipal Abelardo Gadelha da Rocha; Hospital Santa Terezinha,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
Paracuru,Fortaleza,Caucaia,Caucaia,Hospital Municipal Abelardo Gadelha da Rocha; Hospital Santa Terezinha,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
Paraipaba,Fortaleza,Caucaia,Caucaia,Hospital Municipal Abelardo Gadelha da Rocha; Hospital Santa Terezinha,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
São Luís do Curu,Fortaleza,Caucaia,Caucaia,Hospital Municipal Abelardo Gadelha da Rocha; Hospital Santa Terezinha,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
Pentecoste,Fortaleza,Caucaia,Caucaia,Hospital Municipal Abelardo Gadelha da Rocha; Hospital Santa Terezinha,2026-06-06,SESA Regionalização: lista_sr_ads_20220203-1.pdf; PSR/Resolução 825/2025 quando disponível,https://www.saude.ce.gov.br/institucional/regionalizacao/,alto,
