hospital,servico,disponivel,observacao,atualizado_em,fonte
Casa de Saúde de Russas,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Casa de Saúde de Russas,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Casa de Saúde de Russas,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Casa de Saúde de Russas,Neonatal,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Casa de Saúde de Russas,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Casa de Saúde de Russas,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Casa de Saúde de Russas,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,Leitos Clínicos de Retaguarda,sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Alberto Feitosa,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,Porta de Entrada RUE Geral,sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Alberto Feitosa,Saúde Mental,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,UTI Adulto,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Alberto Feitosa,UTI Adulto Tipo II (7 leitos),sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
